"<img src=""Front"">"	Thai	Phonetic	Translation	Grammar	Vocabulary	Audio	Module
"<img src=""Oh My Ghost_S01E04_Episode 4.th.closedcaptions_00h38m59s205ms-00h39m03s285ms.avif"">"	ก็ได้ แล้วก็ถ้าทำเสร็จก็เก็บกวาดให้เรียบร้อย	gɔ̂ɔ dâai lɛ́ɛo gɔ̂ɔ tâa tam sèt gɔ̂ɔ gèp-gwàat hâi rîap-rɔ́ɔi	Okay, and when done then clean up properly	ก็ได้ standalone: "okay/fine". Accepting request. Multiple ก็ patterns in one sentence	เก็บกวาด (gèp-gwàat): clean up; เรียบร้อย (rîap-rɔ́ɔi): neat/tidy	[sound:Oh My Ghost_S01E04_Episode 4.th.closedcaptions_00h38m59s205ms-00h39m03s285ms.ogg]	1.1
"<img src=""Oh My Ghost_S01E03_Episode 3.th.closedcaptions_00h27m51s725ms-00h27m55s085ms.avif"">"	ก็ได้ ถ้าอยากตามมันกลับมานัก	gɔ̂ɔ dâai tâa yàak dtaam man glàp maa nák	Fine! If you want him back so badly	ก็ได้: Reluctant agreement. Shows annoyed acceptance of situation	ตาม (dtaam): follow/get back; นัก (nák): so much/very	[sound:Oh My Ghost_S01E03_Episode 3.th.closedcaptions_00h27m51s725ms-00h27m55s085ms.ogg]	1.1
"<img src=""Sing Again_S01E15_Episode 15.th.closedcaptions_00h04m58s680ms-00h05m02s240ms.avif"">"	เอาอย่างนี้ก็แล้วกัน	ao yàang-níi gɔ̂ɔ lɛ́ɛo gan	Let's do it this way then	ก็แล้วกัน: "so be it/let's settle on this". Decision finalization pattern	เอาอย่างนี้ (ao yàang-níi): do it this way	[sound:Sing Again_S01E15_Episode 15.th.closedcaptions_00h04m58s680ms-00h05m02s240ms.ogg]	1.1
"<img src=""I Need Romance_S01E03_Episode 3.th.closedcaptions_00h37m17s880ms-00h37m20s360ms.avif"">"	เธอเข้ามาที่บริษัทก็แล้วกัน	təə kâo maa tîi bɔɔ-rí-sàt gɔ̂ɔ lɛ́ɛo gan	Come to the company then	ก็แล้วกัน: Settling on decision after deliberation. "Let's just do that"	บริษัท (bɔɔ-rí-sàt): company	[sound:I Need Romance_S01E03_Episode 3.th.closedcaptions_00h37m17s880ms-00h37m20s360ms.ogg]	1.1
"<img src=""Tunnel_S01E14_Episode 14.th.subtitles_00h25m29s600ms-00h25m31s280ms.avif"">"	จะทำอะไรก็แล้วแต่นายเลยก็แล้วกัน	jà tam à-rai gɔ̂ɔ lɛ́ɛo-dtɛ̀ɛ naai ləəi gɔ̂ɔ lɛ́ɛo gan	Do whatever you want then	Double pattern: ก็แล้วแต่ (up to you) + ก็แล้วกัน (so be it). Complete resignation	เลย (ləəi): go ahead/completely	[sound:Tunnel_S01E14_Episode 14.th.subtitles_00h25m29s600ms-00h25m31s280ms.ogg]	1.1
"<img src=""Bangkok Traffic (Love) Story 2009 - H264 AAC.th.closedcaptions_01h09m44s319ms-01h09m48s399ms.avif"">"	เรื่องก็คือ ผมกับกบเนี่ยเป็นแฟนกัน	rʉ̂ang gɔ̂ɔ kʉʉ pǒm gàp gòp nîa bpen fɛɛn gan	The thing is, Gob and I were dating	ก็คือ: "well, it's/the thing is". Explanation introduction pattern	เรื่อง (rʉ̂ang): matter/thing; แฟน (fɛɛn): boyfriend/girlfriend	[sound:Bangkok Traffic (Love) Story 2009 - H264 AAC.th.closedcaptions_01h09m44s319ms-01h09m48s399ms.ogg]	1.1
"<img src=""Girl from Nowhere_S02E02_True Love.th.closedcaptions_00h34m27s560ms-00h34m31s639ms.avif"">"	ความรัก ไม่ว่ามันจะหน้าตาแบบไหน มันก็คือความรัก	kwaam-rák mâi-wâa man jà nâa-dtaa bɛ̀ɛp-nǎi man gɔ̂ɔ kʉʉ kwaam-rák	Love, no matter what it looks like, is still love	มันก็คือ: "it IS". Emphatic definition - regardless of form, essence remains	หน้าตา (nâa-dtaa): appearance/looks; ความรัก (kwaam-rák): love	[sound:Girl from Nowhere_S02E02_True Love.th.closedcaptions_00h34m27s560ms-00h34m31s639ms.ogg]	1.1
"<img src=""DELETE_S01E04_DELETE_ HATRED.th.closedcaptions_00h23m56s250ms-00h23m59s958ms.avif"">"	ก็จริงแหละ แต่ไม่แน่	gɔ̂ɔ jing lɛ̀ แต่ mâi nɛ̂ɛ	That's true, but not certain	ก็จริง: Acknowledging truth while expressing doubt. "True, but..."	แหละ (lɛ̀): emphasis particle; ไม่แน่ (mâi nɛ̂ɛ): not sure	[sound:DELETE_S01E04_DELETE_ HATRED.th.closedcaptions_00h23m56s250ms-00h23m59s958ms.ogg]	1.1
"<img src=""Oh My Ghost_S01E06_Episode 6.th.closedcaptions_00h10m17s205ms-00h10m19s845ms.avif"">"	เขาทำผิดก็จริง แต่เขาก็แก้ตัวแล้วไง	kǎo tam pìt gɔ̂ɔ jing dtɛ̀ɛ kǎo gɔ̂ɔ gɛ̂ɛ-dtua lɛ́ɛo ngai	She did wrong, true, but she made amends	ก็จริง in concession: "it's true X, but Y". Acknowledges fault while defending	ทำผิด (tam pìt): do wrong; แก้ตัว (gɛ̂ɛ-dtua): make amends	[sound:Oh My Ghost_S01E06_Episode 6.th.closedcaptions_00h10m17s205ms-00h10m19s845ms.ogg]	1.1
"<img src=""Analog Squad_S01E05_Bonds and connections.th.closedcaptions_00h33m38s708ms-00h33m42s708ms.avif"">"	ทุกเช้าย่าหนูจะต้องไปซื้อน้ำเต้าหู้ที่ร้านยายแดงมาให้ปู่	túk cháo yâa nǔu jà dtɔ̂ng bpai sʉ́ʉ nám-dtâo-hûu tîi ráan yaai dɛɛng maa hâi bpùu	Every morning grandma must go buy soy milk from Dang's shop to give to grandpa	Basic ให้: V + มา + ให้ + person. Buy and bring to give. Shows giving as final action in sequence	น้ำเต้าหู้ (nám-dtâo-hûu): soy milk; ย่า (yâa): grandma (paternal); ปู่ (bpùu): grandpa (paternal)	[sound:Analog Squad_S01E05_Bonds and connections.th.closedcaptions_00h33m38s708ms-00h33m42s708ms.ogg]	1.2
"<img src=""Oh My Ghost_S01E04_Episode 4.th.closedcaptions_00h35m14s725ms-00h35m19s405ms.avif"">"	ขอบคุณค่ะ ลุงเอามาให้หนู	kɔ̀ɔp-kun kâ lung ao maa hâi nǔu	Thank you, uncle brought (it) for me	Basic giving: เอามาให้ = bring to give. Shows movement + giving pattern	เอา (ao): take/bring; หนู (nǔu): I/me (child/female)	[sound:Oh My Ghost_S01E04_Episode 4.th.closedcaptions_00h35m14s725ms-00h35m19s405ms.ogg]	1.2
"<img src=""Oh My Ghost_S01E05_Episode 5.th.closedcaptions_00h57m55s365ms-00h57m58s805ms.avif"">"	เดี๋ยวผมตักเก๊กฮวยเย็นๆ ให้กิน	dǐao pǒm dtàk gék-huai yen-yen hâi gin	I'll scoop cold chrysanthemum tea for (you) to drink	ให้ + V: Give for purpose. ตักให้กิน = scoop to give (you) to drink	ตัก (dtàk): scoop/ladle; เก๊กฮวย (gék-huai): chrysanthemum tea	[sound:Oh My Ghost_S01E05_Episode 5.th.closedcaptions_00h57m55s365ms-00h57m58s805ms.ogg]	1.2
"<img src=""Oh My Ghost_S01E12_Episode 12.th.closedcaptions_00h34m01s165ms-00h34m04s365ms.avif"">"	ถ้าเกิดหิวมาก เดี๋ยวฉันออกไปซื้อให้กิน	tâa gə̀ət hǐu mâak dǐao chǎn ɔ̀ɔk bpai sʉ́ʉ hâi gin	If very hungry, I'll go out to buy (something) for (you) to eat	ซื้อให้กิน: Buy to give (you) to eat. Shows giving with purpose verb	เกิด (gə̀ət): happen/occur; หิว (hǐu): hungry	[sound:Oh My Ghost_S01E12_Episode 12.th.closedcaptions_00h34m01s165ms-00h34m04s365ms.ogg]	1.2
"<img src=""6ixtynin9 The Series_S01E03_Episode 3.th.closedcaptions_00h12m27s200ms-00h12m30s280ms.avif"">"	เอากระทิงแดงมาให้คุณเอ็มครับ	ao grà-ting-dɛɛng maa hâi kun em kráp	I brought Red Bull for Mr. M	เอา...มาให้: Bring X to give Y. Classic giving pattern with object and recipient	กระทิงแดง (grà-ting-dɛɛng): Red Bull (energy drink brand)	[sound:6ixtynin9 The Series_S01E03_Episode 3.th.closedcaptions_00h12m27s200ms-00h12m30s280ms.ogg]	1.2
"<img src=""Oh My Ghost_S01E03_Episode 3.th.closedcaptions_00h34m45s525ms-00h34m49s205ms.avif"">"	เอาของไปให้เขาทำไม	ao kɔ̌ɔng bpai hâi kǎo tam-mai	Why did you take things to give to him?	เอา + object + ไป + ให้ + person: Take things to give someone. Directional giving	ของ (kɔ̌ɔng): things/stuff; ทำไม (tam-mai): why	[sound:Oh My Ghost_S01E03_Episode 3.th.closedcaptions_00h34m45s525ms-00h34m49s205ms.ogg]	1.2
"<img src=""Sing Again_S01E13_Episode 13.th.closedcaptions_00h11m33s280ms-00h11m35s880ms.avif"">"	ไม่เห็นเคยซื้ออะไรมาให้เปียโนเลย	mâi hěn kəəi sʉ́ʉ à-rai maa hâi bpiia-noo ləəi	Never seen (you) buy anything for Piano	ซื้อ...มาให้: Buy and bring to give. Shows buying for someone else	เคย (kəəi): ever; เปียโน (bpiia-noo): Piano (name)	[sound:Sing Again_S01E13_Episode 13.th.closedcaptions_00h11m33s280ms-00h11m35s880ms.ogg]	1.2
"<img src=""Sing Again_S01E10_Episode 10.th.closedcaptions_00h19m42s760ms-00h19m46s280ms.avif"">"	ทางมูลนิธิเขาให้เงินมา	taang muun-ní-tí kǎo hâi ngəən maa	The foundation gave money	Subject + ให้ + object + มา: They gave money (toward us). Basic giving with direction	มูลนิธิ (muun-ní-tí): foundation/charity; เงิน (ngəən): money	[sound:Sing Again_S01E10_Episode 10.th.closedcaptions_00h19m42s760ms-00h19m46s280ms.ogg]	1.2
"<img src=""Oh My Ghost_S01E03_Episode 3.th.closedcaptions_00h25m41s245ms-00h25m44s285ms.avif"">"	เดี๋ยวผมไปซื้อให้เลยตอนนี้	dǐao pǒm bpai sʉ́ʉ hâi ləəi dtɔɔn-níi	I'll go buy (it) for (you) right now	ไปซื้อให้: Go to buy for (someone). Shows action done for another	เดี๋ยว (dǐao): in a moment; เลย (ləəi): right away	[sound:Oh My Ghost_S01E03_Episode 3.th.closedcaptions_00h25m41s245ms-00h25m44s285ms.ogg]	1.2
"<img src=""Oh My Ghost_S01E04_Episode 4.th.closedcaptions_00h52m42s405ms-00h52m45s805ms.avif"">"	มา แม่ทำอะไรให้กินไหม	maa mɛ̂ɛ tam à-rai hâi gin mǎi	Come, shall mom make something for (you) to eat?	ทำ...ให้กิน: Make for (someone) to eat. Preparing food to give	ทำ (tam): make/do	[sound:Oh My Ghost_S01E04_Episode 4.th.closedcaptions_00h52m42s405ms-00h52m45s805ms.ogg]	1.2
"<img src=""To the Moon and Back_S01E04_Episode 4.th.closedcaptions_00h14m18s360ms-00h14m21s720ms.avif"">"	เราก็เลยเอาลายเส้นของมาตาให้เขาดู	rao gɔ̂ɔ-ləəi ao laai-sên kɔ̌ɔng maa-dtaa hâi kǎo duu	So we took Mata's design to give her to see	เอา...ให้ดู: Take to give (someone) to see. Showing is a form of giving	ลายเส้น (laai-sên): line drawing/design; มาตา (maa-dtaa): Mata (name)	[sound:To the Moon and Back_S01E04_Episode 4.th.closedcaptions_00h14m18s360ms-00h14m21s720ms.ogg]	1.2
"<img src=""Hunger 2023 - H265 AAC.th.closedcaptions_01h23m29s791ms-01h23m32s708ms.avif"">"	แล้วพวกเราก็เสิร์ฟซุปน้ำก๊อกให้เขากิน	lɛ́ɛo pûak-rao gɔ̂ɔ sə̀əp súp nám-gɔ́k hâi kǎo gin	Then we served tap water soup for them to eat	เสิร์ฟ...ให้กิน: Serve for (them) to eat. Service as giving	เสิร์ฟ (sə̀əp): serve; ซุป (súp): soup; น้ำก๊อก (nám-gɔ́k): tap water	[sound:Hunger 2023 - H265 AAC.th.closedcaptions_01h23m29s791ms-01h23m32s708ms.ogg]	1.2
"<img src=""Oh My Ghost_S01E09_Episode 9.th.closedcaptions_00h44m41s885ms-00h44m45s525ms.avif"">"	เราเอาอะไรโยนๆ ให้เขาแล้วบอกว่าเป็นของขวัญ	rao ao à-rai yoon-yoon hâi kǎo lɛ́ɛo bɔ̀ɔk wâa bpen kɔ̌ɔng-kwǎn	We throw something to give him and say it's a gift	โยน...ให้: Throw to give. Even throwing can be giving	โยน (yoon): throw; ของขวัญ (kɔ̌ɔng-kwǎn): gift/present	[sound:Oh My Ghost_S01E09_Episode 9.th.closedcaptions_00h44m41s885ms-00h44m45s525ms.ogg]	1.2
"<img src=""Love Destiny_S01E05_Episode 5.th.subtitles_00h57m54s360ms-00h57m58s200ms.avif"">"	กูจะเอาหอม กระเทียม พริกขี้หนู มะนาวไปให้แม่นายของกู	guu jà ao hɔ̌ɔm grà-tiiam prík-kîi-nǔu má-naao bpai hâi mɛ̂ɛ-naai kɔ̌ɔng guu	I'll take onion, garlic, chili, lime to give to my lady	เอา + items + ไปให้ + person: Take multiple items to give someone	หอม (hɔ̌ɔm): onion; กระเทียม (grà-tiiam): garlic; แม่นาย (mɛ̂ɛ-naai): lady/mistress	[sound:Love Destiny_S01E05_Episode 5.th.subtitles_00h57m54s360ms-00h57m58s200ms.ogg]	1.2
"<img src=""I Need Romance_S01E05_Episode 5.th.closedcaptions_00h24m51s160ms-00h24m55s240ms.avif"">"	อยากกินอะไรไหม เดี๋ยวซื้อไปให้	yàak gin à-rai mǎi dǐao sʉ́ʉ bpai hâi	Want to eat anything? I'll buy and bring for (you)	ซื้อไปให้: Buy to take and give. Future giving promise	อยากกิน (yàak gin): want to eat	[sound:I Need Romance_S01E05_Episode 5.th.closedcaptions_00h24m51s160ms-00h24m55s240ms.ogg]	1.2
"<img src=""To the Moon and Back_S01E07_Episode 7.th.closedcaptions_01h03m25s480ms-01h03m27s880ms.avif"">"	เอามา เดี๋ยวไปเก็บให้	ao maa dǐao bpai gèp hâi	Give it here, I'll go put it away for (you)	ไปเก็บให้: Go to store/keep for someone. Service as giving	เก็บ (gèp): keep/store/put away	[sound:To the Moon and Back_S01E07_Episode 7.th.closedcaptions_01h03m25s480ms-01h03m27s880ms.ogg]	1.2
"<img src=""Sing Again_S01E09_Episode 9.th.closedcaptions_00h24m20s640ms-00h24m22s560ms.avif"">"	เอามานี่มา เดี๋ยวแม่เอาไปให้	ao maa nîi maa dǐao mɛ̂ɛ ao bpai hâi	Bring it here, mom will take it to give	เอาไปให้: Take to give/deliver. Mother as intermediary giver	นี่ (nîi): here	[sound:Sing Again_S01E09_Episode 9.th.closedcaptions_00h24m20s640ms-00h24m22s560ms.ogg]	1.2
"<img src=""The Bride of Naga_S01E02_Episode 2.th.closedcaptions_01h03m57s400ms-01h04m01s200ms.avif"">"	ฉันเป็นคนซื้อให้หลานฉัน	chǎn bpen kon sʉ́ʉ hâi lǎan chǎn	I'm the one who bought (it) for my granddaughter	ซื้อให้ + person: Buy for someone. Emphasizing who did the giving	หลาน (lǎan): grandchild/niece/nephew	[sound:The Bride of Naga_S01E02_Episode 2.th.closedcaptions_01h03m57s400ms-01h04m01s200ms.ogg]	1.2
"<img src=""Let's Fight Ghost_S01E12_Episode 12.th.closedcaptions_00h37m39s480ms-00h37m42s600ms.avif"">"	งั้นเดี๋ยวแม่ไปแกะขนมให้กิน	ngán dǐao mɛ̂ɛ bpai gɛ̀ kà-nǒm hâi gin	Then mom will go unwrap snacks for (you) to eat	แกะ...ให้กิน: Unwrap to give to eat. Preparation as giving	แกะ (gɛ̀): unwrap/open; ขนม (kà-nǒm): snacks/sweets	[sound:Let's Fight Ghost_S01E12_Episode 12.th.closedcaptions_00h37m39s480ms-00h37m42s600ms.ogg]	1.2
"<img src=""Sing Again_S01E13_Episode 13.th.closedcaptions_00h11m41s360ms-00h11m43s840ms.avif"">"	เค้าก็เลยซื้อมาให้	káo gɔ̂ɔ-ləəi sʉ́ʉ maa hâi	So I bought (it) to give (her)	ซื้อมาให้: Buy and bring to give. Complete giving sequence	เค้า (káo): I (cute form)	[sound:Sing Again_S01E13_Episode 13.th.closedcaptions_00h11m41s360ms-00h11m43s840ms.ogg]	1.2
"<img src=""Answer for Heaven_S01E12_Complication Part 1.th.closedcaptions_00h17m15s045ms-00h17m19s565ms.avif"">"	นายทำให้เขามีน้ำตา นายไม่รู้จักความรักหรอก	naai tam hâi kǎo mii nám-dtaa naai mâi rúu-jàk kwaam-rák rɔ̀ɔk	You make her cry. You don't know love	ทำให้ + state: Causative "make/cause". Subject causes object to have tears/cry	น้ำตา (nám-dtaa): tears; ความรัก (kwaam-rák): love; หรอก (rɔ̀ɔk): at all	[sound:Answer for Heaven_S01E12_Complication Part 1.th.closedcaptions_00h17m15s045ms-00h17m19s565ms.ogg]	1.2
"<img src=""Mon-rak Transistor 2001 - H264 AAC.th.closedcaptions_00h02m00s500ms-00h02m04s041ms.avif"">"	มึงทำให้กูเหนื่อยทั้งวันนะ	mʉng tam hâi guu nʉ̀ai táng wan ná	You made me tired all day	ทำให้ + adjective: Causative "make tired". Direct causation of physical state	เหนื่อย (nʉ̀ai): tired; ทั้งวัน (táng wan): all day	[sound:Mon-rak Transistor 2001 - H264 AAC.th.closedcaptions_00h02m00s500ms-00h02m04s041ms.ogg]	1.2
"<img src=""Unlucky Ploy_S01E04_Episode 4.th.subtitles_00h57m12s200ms-00h57m15s880ms.avif"">"	ความเงียบมันก็ทำให้อะไรๆ ในหัวที่ไม่ดีมันหายไปได้	kwaam-ngîap man gɔ̂ɔ tam hâi à-rai-à-rai nai hǔa tîi mâi dii man hǎai bpai dâai	Silence can make bad things in your head disappear	ทำให้ + V: Abstract subject causes action. Silence makes things disappear	ความเงียบ (kwaam-ngîap): silence; หายไป (hǎai bpai): disappear	[sound:Unlucky Ploy_S01E04_Episode 4.th.subtitles_00h57m12s200ms-00h57m15s880ms.ogg]	1.2
